forecast_time,temperature,feels_like_temperature,min_temperature,max_temperature,pressure,humidity,cloudiness,wind_speed,wind_direction,visibility,precipitation_probability,rain_volume,weather_main,weather_description,city_name,country,city_latitude,city_longitude,population,timezone,sunrise,sunset
2024-08-26 10:00:00,21.64,22.42,21.64,21.64,1015.0,98.0,100.0,1.9,224.0,10000.0,1.0,1.41,Rain,light rain,Ibadan,Nigeria,7.42,3.93,3565108,UTC+1,2024-08-23 06:37:39,2024-08-23 18:56:25
2024-08-26 13:00:00,21.81,22.61,21.81,21.81,1013.0,98.0,100.0,2.49,237.0,10000.0,1.0,3.87,Rain,moderate rain,Ibadan,Nigeria,7.42,3.93,3565108,UTC+1,2024-08-23 06:37:39,2024-08-23 18:56:25
2024-08-26 16:00:00,22.22,23.0,22.22,22.22,1011.0,96.0,100.0,2.81,235.0,10000.0,1.0,0.64,Rain,light rain,Ibadan,Nigeria,7.42,3.93,3565108,UTC+1,2024-08-23 06:37:39,2024-08-23 18:56:25
2024-08-26 19:00:00,21.64,22.42,21.64,21.64,1012.0,98.0,100.0,2.17,212.0,10000.0,0.97,0.92,Rain,light rain,Ibadan,Nigeria,7.42,3.93,3565108,UTC+1,2024-08-23 06:37:39,2024-08-23 18:56:25
2024-08-26 22:00:00,21.39,22.14,21.39,21.39,1014.0,98.0,100.0,1.66,226.0,10000.0,0.47,1.04,Rain,light rain,Ibadan,Nigeria,7.42,3.93,3565108,UTC+1,2024-08-23 06:37:39,2024-08-23 18:56:25
2024-08-27 01:00:00,21.04,21.76,21.04,21.04,1013.0,98.0,99.0,2.48,215.0,10000.0,0.31,0.0,Clouds,overcast clouds,Ibadan,Nigeria,7.42,3.93,3565108,UTC+1,2024-08-23 06:37:39,2024-08-23 18:56:25
2024-08-27 04:00:00,21.18,21.94,21.18,21.18,1012.0,99.0,100.0,1.67,212.0,6699.0,0.27,0.3,Rain,light rain,Ibadan,Nigeria,7.42,3.93,3565108,UTC+1,2024-08-23 06:37:39,2024-08-23 18:56:25
2024-08-27 07:00:00,21.32,22.07,21.32,21.32,1013.0,98.0,100.0,1.83,219.0,10000.0,0.5,0.83,Rain,light rain,Ibadan,Nigeria,7.42,3.93,3565108,UTC+1,2024-08-23 06:37:39,2024-08-23 18:56:25
2024-08-27 10:00:00,21.86,22.63,21.86,21.86,1015.0,97.0,100.0,1.97,214.0,10000.0,0.76,1.02,Rain,light rain,Ibadan,Nigeria,7.42,3.93,3565108,UTC+1,2024-08-23 06:37:39,2024-08-23 18:56:25
2024-08-27 13:00:00,23.05,23.84,23.05,23.05,1013.0,93.0,100.0,2.84,228.0,10000.0,0.84,0.6,Rain,light rain,Ibadan,Nigeria,7.42,3.93,3565108,UTC+1,2024-08-23 06:37:39,2024-08-23 18:56:25
2024-08-27 16:00:00,24.6,25.34,24.6,24.6,1011.0,85.0,99.0,4.04,238.0,10000.0,0.68,1.33,Rain,light rain,Ibadan,Nigeria,7.42,3.93,3565108,UTC+1,2024-08-23 06:37:39,2024-08-23 18:56:25
2024-08-27 19:00:00,21.94,22.62,21.94,21.94,1013.0,93.0,95.0,2.09,235.0,10000.0,0.58,0.37,Rain,light rain,Ibadan,Nigeria,7.42,3.93,3565108,UTC+1,2024-08-23 06:37:39,2024-08-23 18:56:25
2024-08-27 22:00:00,21.11,21.81,21.11,21.11,1015.0,97.0,52.0,1.44,218.0,10000.0,0.0,0.0,Clouds,broken clouds,Ibadan,Nigeria,7.42,3.93,3565108,UTC+1,2024-08-23 06:37:39,2024-08-23 18:56:25
2024-08-28 01:00:00,20.18,20.81,20.18,20.18,1014.0,98.0,47.0,1.56,212.0,10000.0,0.0,0.0,Clouds,scattered clouds,Ibadan,Nigeria,7.42,3.93,3565108,UTC+1,2024-08-23 06:37:39,2024-08-23 18:56:25
2024-08-28 04:00:00,19.77,20.39,19.77,19.77,1014.0,99.0,72.0,1.28,232.0,10000.0,0.0,0.0,Clouds,broken clouds,Ibadan,Nigeria,7.42,3.93,3565108,UTC+1,2024-08-23 06:37:39,2024-08-23 18:56:25
2024-08-28 07:00:00,19.97,20.61,19.97,19.97,1015.0,99.0,78.0,1.22,241.0,10000.0,0.0,0.0,Clouds,broken clouds,Ibadan,Nigeria,7.42,3.93,3565108,UTC+1,2024-08-23 06:37:39,2024-08-23 18:56:25
